id,name,aisle,consistency,amount,unit,nutrient_Zinc_mg,nutrient_Folate_µg,nutrient_Vitamin_D_µg,nutrient_Vitamin_B2_mg,nutrient_Potassium_mg,nutrient_Sodium_mg,nutrient_Vitamin_C_mg,nutrient_Copper_mg,nutrient_Cholesterol_mg,nutrient_Selenium_µg,nutrient_Vitamin_A_IU,nutrient_Magnesium_mg,nutrient_Sugar_g,nutrient_Vitamin_B5_mg,nutrient_Saturated_Fat_g,nutrient_Manganese_mg,nutrient_Calories_kcal,nutrient_Vitamin_B12_µg,nutrient_Mono_Unsaturated_Fat_g,nutrient_Vitamin_E_mg,nutrient_Fiber_g,nutrient_Caffeine_mg,nutrient_Net_Carbohydrates_g,nutrient_Vitamin_B6_mg,nutrient_Vitamin_B3_mg,nutrient_Phosphorus_mg,nutrient_Calcium_mg,nutrient_Iron_mg,nutrient_Fat_g,nutrient_Carbohydrates_g,nutrient_Trans_Fat_g,nutrient_Vitamin_B1_mg,nutrient_Alcohol_g,nutrient_Vitamin_K_µg,nutrient_Fluoride_mg,nutrient_Poly_Unsaturated_Fat_g,nutrient_Protein_g,property_Glycemic_Index,property_Glycemic_Load,property_Inflammation_Score,property_Nutrition_Score,caloricBreakdown_percentProtein,caloricBreakdown_percentFat,caloricBreakdown_percentCarbs,nutrient_Lycopene_µg,nutrient_Folic_Acid_µg,nutrient_Choline_mg,nutrient_Sugar_Alcohol_g
98990,vegeta,Spices and Seasonings,solid,100.0,grams,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
15077,smoked salmon,Seafood,solid,100.0,grams,0.31,2.0,17.1,0.1,175.0,784.0,0.0,0.23,23.0,32.4,87.0,18.0,0.0,0.87,0.93,0.02,117.0,3.26,2.02,1.35,0.0,0.0,0.0,0.28,4.72,164.0,11.0,0.85,4.32,0.0,,0.02,0.0,0.1,,1.0,18.28,0.0,0.0,0.0,13.555217477614464,65.29,34.71,0.0,0.0,0.0,89.0,
9252,pear,Produce,solid,100.0,grams,0.1,7.0,0.0,0.03,116.0,1.0,4.3,0.08,0.0,0.1,25.0,7.0,9.75,0.05,0.02,0.05,57.0,0.0,0.08,0.12,3.1,0.0,12.1,0.03,0.16,12.0,9.0,0.18,0.14,15.2,,0.01,0.0,4.4,2.2,0.09,0.36,36.75,4.45,0.0,1.9739130327235097,2.27,1.98,95.75,0.0,0.0,5.1,
93626,xanthan gum,Gluten Free;Health Foods;Baking,solid,100.0,grams,0.0,0.0,0.0,0.0,322.0,2888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.904347834379776,0.0,0.0,100.0,,,,
93718,black lentils,Pasta and Rice;Canned and Jarred,solid,100.0,grams,0.0,0.0,0.0,0.0,0.0,6.0,4.2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,0.0,60.0,7.56,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,5.790869571916435,31.66,2.37,65.97,,,,
17142,ground veal,Meat,solid,100.0,grams,3.06,13.0,,0.27,315.0,82.0,0.0,0.11,82.0,8.1,,24.0,,1.31,2.79,0.03,144.0,1.34,2.57,0.26,0.0,,0.0,0.41,7.5,203.0,15.0,0.83,6.77,0.0,,0.08,,,,0.48,19.35,0.0,0.0,0.0,8.689130383989085,55.95,44.05,0.0,,0.0,,
98877,hare,Meat,solid,100.0,grams,1.7,10.0,0.0,0.06,318.0,77.0,0.0,0.24,60.0,10.0,0.0,26.0,0.0,0.8,0.97,0.04,478.0,1.0,0.32,0.1,0.0,0.0,0.0,0.3,8.07,210.0,9.1,0.8,3.0,0.0,0.0,0.09,0.0,0.0,0.0,1.46,21.6,0.0,0.0,0.0,7.573043418967205,76.19,23.81,0.0,,,,
10010219,pork,Meat,solid,100.0,grams,2.2,5.0,,0.23,287.0,56.0,0.7,0.05,72.0,24.6,7.0,19.0,,0.67,7.87,0.01,263.0,0.7,9.44,,0.0,,0.0,0.38,4.34,175.0,14.0,0.88,21.19,0.0,,0.73,,,,1.91,16.88,0.0,0.0,0.0,9.276086875278017,26.15,73.85,0.0,,0.0,,
11080,red beet,Produce,solid,100.0,grams,0.35,109.0,0.0,0.04,325.0,78.0,4.9,0.08,0.0,0.7,33.0,23.0,6.76,0.16,0.03,0.33,43.0,0.0,0.03,0.04,2.8,0.0,6.76,0.07,0.33,40.0,16.0,0.8,0.17,9.56,,0.03,0.0,0.2,,0.06,1.61,64.0,4.33,0.0,4.57000001228374,13.94,3.31,82.75,0.0,0.0,6.0,
11278,okra,Produce,solid,100.0,grams,0.58,60.0,0.0,0.06,299.0,7.0,23.0,0.11,0.0,0.7,716.0,57.0,1.48,0.25,0.03,0.79,33.0,0.0,0.02,0.27,3.2,0.0,4.25,0.22,1.0,61.0,82.0,0.62,0.19,7.45,,0.2,0.0,31.3,,0.03,1.93,32.0,1.36,0.0,9.866086928740792,19.68,4.36,75.96,0.0,0.0,12.3,
8160,grits,Cereal;Baking,solid,100.0,grams,0.41,5.0,,0.04,137.0,1.0,0.0,0.08,0.0,17.0,214.0,27.0,0.64,0.49,0.16,0.11,371.0,0.0,0.3,,1.6,0.0,78.0,0.15,1.2,73.0,2.0,1.0,1.2,79.6,,0.13,0.0,0.3,,0.52,8.8,0.0,0.0,0.0,4.401304410203643,9.66,2.96,87.38,0.0,0.0,,
93702,yuzu,Produce,solid,100.0,grams,0.0,0.0,0.0,0.0,0.0,1.5,28.7,0.0,0.0,0.0,75.0,0.0,1.5,0.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,0.0,7.4,0.0,0.0,0.0,30.0,0.5,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.350869603779005,12.61,0.0,87.39,,,,
5139,whole duck,Meat,solid,100.0,grams,1.36,13.0,0.7,0.21,209.0,63.0,2.8,0.24,76.0,12.4,168.0,15.0,0.0,0.95,13.22,0.02,404.0,0.25,18.69,0.7,0.0,0.0,0.0,0.19,3.93,139.0,11.0,2.4,39.34,0.0,,0.2,0.0,5.5,,5.08,11.49,0.0,0.0,0.0,7.408260832662168,11.49,88.51,0.0,0.0,0.0,31.0,
21118,hot dogs,Meat,solid,100.0,grams,2.02,49.0,,0.28,146.0,684.0,0.1,0.08,45.0,26.5,0.0,13.0,,0.52,5.21,0.09,247.0,0.52,6.99,,,,18.4,0.05,3.72,99.0,24.0,2.36,14.84,18.4,,0.24,,,,1.74,10.6,28.0,5.15,0.0,7.500869569247183,16.99,53.52,29.49,,19.0,,
11445,kelp,Ethnic Foods,solid,100.0,grams,1.23,180.0,0.0,0.15,89.0,233.0,3.0,0.13,0.0,0.7,116.0,121.0,0.6,0.64,0.25,0.2,43.0,0.0,0.1,0.87,1.3,0.0,8.27,0.0,0.47,42.0,168.0,2.85,0.56,9.57,,0.05,0.0,66.0,,0.05,1.68,0.0,0.0,0.0,10.485217347417189,13.43,10.07,76.5,0.0,0.0,12.8,
8120,oats,Cereal,solid,100.0,grams,3.64,32.0,0.0,0.16,362.0,6.0,0.0,0.39,0.0,28.9,0.0,138.0,0.99,1.12,1.11,3.63,379.0,0.0,1.98,0.42,10.1,0.0,57.6,0.1,1.12,410.0,52.0,4.25,6.52,67.7,,0.46,0.0,2.0,,2.3,13.2,40.0,23.04,0.0,18.019565317941748,13.81,15.35,70.84,0.0,0.0,40.4,
6997,beef gravy,Canned and Jarred,solid,100.0,grams,,,,,,458.0,0.0,,8.0,,0.0,,1.69,,0.85,,42.0,,,,0.0,,5.08,,,,0.0,0.0,1.69,5.08,0.0,,,,,,1.69,0.0,0.0,0.0,0.0,15.98,35.97,48.05,,,,
99226,sage,Produce,solid,100.0,grams,0.76,0.0,0.0,0.05,173.0,2.0,0.0,123.0,0.0,0.0,0.0,69.0,0.0,0.0,1.14,4.04,59.0,0.0,0.3,0.0,2.91,0.0,3.99,0.0,0.0,15.0,266.0,4.54,2.05,6.9,0.0,0.12,0.0,0.0,65.0,0.28,1.71,0.0,0.0,0.0,13.180869579315186,12.93,34.88,52.19,,,,
10151,ham,Meat,solid,100.0,grams,2.32,3.0,0.7,0.22,286.0,1187.0,0.0,0.08,62.0,22.7,0.0,19.0,0.0,0.46,5.98,0.01,243.0,0.64,7.88,0.36,0.0,0.0,0.0,0.38,4.46,214.0,7.0,0.87,16.77,0.0,,0.6,0.0,0.0,19.9,1.81,21.57,0.0,0.0,0.0,9.132173906201901,36.37,63.63,0.0,0.0,0.0,84.3,
23236,ribs,Meat,solid,100.0,grams,3.85,3.0,0.2,0.21,218.0,53.0,0.0,0.06,75.0,17.1,19.0,17.0,0.0,,12.64,,324.0,1.55,13.81,,0.0,0.0,0.78,0.37,3.81,120.0,10.0,1.63,28.42,0.78,1.88,0.08,0.0,1.5,,1.17,16.15,0.0,0.0,0.0,7.397391365922016,19.97,79.07,0.96,0.0,0.0,,
10099315,cava,Alcoholic Beverages,liquid,100.0,grams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,
10316069,lentils,Pasta and Rice;Canned and Jarred,solid,100.0,grams,4.78,479.0,0.0,0.21,955.0,6.0,4.4,0.52,0.0,8.3,39.0,122.0,2.03,2.14,0.16,1.33,353.0,0.0,0.19,0.49,30.5,0.0,29.58,0.54,2.61,451.0,56.0,7.54,1.06,60.08,,0.87,0.0,5.0,,0.52,25.8,24.6,7.28,0.0,27.51000003192736,29.23,2.7,68.07,0.0,0.0,96.4,
1102047,salt and pepper,Spices and Seasonings,solid,100.0,grams,0.1,0.0,0.0,0.0,8.0,38758.0,0.0,0.03,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.33,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5226087025974108,0.0,0.0,0.0,0.0,0.0,0.0,
9087,dates,Dried Fruits;Produce,solid,100.0,grams,0.29,19.0,0.0,0.07,656.0,2.0,0.4,0.21,0.0,3.0,10.0,43.0,63.4,0.59,0.03,0.26,282.0,0.0,0.04,0.05,8.0,0.0,67.0,0.17,1.27,62.0,39.0,1.02,0.39,75.0,,0.05,0.0,2.7,,0.02,2.45,52.0,34.84,0.0,6.219565221148988,3.13,1.12,95.75,0.0,0.0,6.3,
93723,naan,Bakery/Bread;Ethnic Foods,solid,100.0,grams,0.0,0.0,0.0,0.0,0.0,683.0,0.0,0.0,8.0,0.0,0.0,0.0,3.2,0.0,1.6,0.0,302.0,0.0,0.0,0.0,1.6,0.0,46.0,0.0,0.0,0.0,63.5,0.0,7.9,47.6,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.5543478260869565,10.78,24.26,64.96,,,,
19297,jam,"Nut butters, Jams, and Honey",solid,100.0,grams,0.06,11.0,0.0,0.08,77.0,32.0,8.8,0.1,0.0,2.0,0.0,4.0,48.5,0.02,0.01,0.04,278.0,0.0,0.04,0.12,1.1,0.0,67.8,0.02,0.04,19.0,20.0,0.49,0.07,68.9,,0.02,0.0,0.0,19.0,0.0,0.37,55.0,37.29,0.0,1.983478260429009,0.53,0.23,99.24,0.0,0.0,10.2,
1065062,meat,,solid,100.0,grams,0.58,4.0,0.1,0.1,370.0,116.0,1.2,0.03,64.0,32.0,30.0,26.0,0.0,1.42,0.57,0.01,114.0,0.2,0.76,0.19,0.0,0.0,0.0,0.75,10.43,210.0,5.0,0.37,2.59,0.0,0.01,0.06,0.0,0.2,,0.4,21.23,0.0,0.0,0.0,9.340000043744626,78.46,21.54,0.0,0.0,0.0,73.4,
20142,teff,Gluten Free;Health Foods;Baking,solid,100.0,grams,3.63,,,0.27,427.0,12.0,,0.81,,4.4,9.0,184.0,1.84,0.94,0.45,9.24,367.0,,0.59,0.08,8.0,,65.13,0.48,3.36,429.0,180.0,7.63,2.38,73.13,,0.39,,1.9,,1.07,13.3,0.0,0.0,0.0,19.965652235176254,14.49,5.83,79.68,0.0,,13.1,
10714037,ouzo,Alcoholic Beverages,solid,100.0,grams,0.04,0.0,0.0,0.0,2.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.0,0.0,0.04,0.0,0.0,,0.01,33.4,0.0,9.0,0.0,0.0,15.0,0.0,0.0,0.15913043235955032,0.0,0.0,0.0,0.0,0.0,0.0,
14400,cola,Beverages,solid,100.0,grams,0.02,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.1,0.0,0.0,8.97,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,8.0,9.56,0.0,0.0,10.0,2.0,0.11,0.02,9.56,,0.0,0.0,0.0,57.0,0.0,0.07,63.0,6.02,0.0,0.09956521800030833,0.72,0.47,98.81,0.0,0.0,0.3,
11520420,ziti,Pasta and Rice,solid,100.0,grams,1.41,18.0,0.0,0.06,223.0,6.0,0.0,0.29,0.0,63.2,0.0,53.0,2.67,0.43,0.28,0.92,371.0,0.0,0.17,0.11,3.2,,71.47,0.14,1.7,189.0,21.0,1.3,1.51,74.67,0.0,0.09,0.0,0.1,,0.56,13.04,42.0,30.02,0.0,11.104347741150338,14.31,3.73,81.96,,0.0,,
10114057,port wine,Alcoholic Beverages,liquid,100.0,grams,0.07,0.0,0.0,0.02,92.0,9.0,0.0,0.05,0.0,0.5,0.0,9.0,7.78,0.03,0.0,0.12,160.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.21,9.0,8.0,0.24,0.0,13.7,,0.02,15.3,0.0,,0.0,0.2,0.0,0.0,0.0,0.909999993832215,1.44,0.0,98.56,0.0,0.0,5.0,
14355,tea,Tea and Coffee,solid,100.0,grams,0.02,5.0,0.0,0.01,37.0,3.0,0.0,0.01,0.0,0.0,0.0,3.0,0.0,0.01,0.0,0.22,1.0,0.0,0.0,0.0,0.0,20.0,0.3,0.0,0.0,1.0,0.0,0.02,0.0,0.3,,0.0,0.0,0.0,372.9,0.0,0.0,0.0,0.0,0.0,0.6860869452357292,0.0,0.0,100.0,0.0,0.0,0.4,
16112,miso,Ethnic Foods,solid,100.0,grams,2.56,19.0,0.0,0.23,210.0,3730.0,0.0,0.42,0.0,7.0,87.0,48.0,6.2,0.34,1.02,0.86,198.0,0.08,1.12,0.01,5.4,0.0,20.0,0.2,0.91,159.0,57.0,2.49,6.01,25.4,,0.1,0.0,29.3,,2.88,12.8,61.0,12.2,0.0,10.431739131069701,24.75,26.14,49.11,0.0,0.0,72.2,
20077,bran,Cereal;Health Foods;Baking,solid,100.0,grams,7.27,79.0,0.0,0.58,1180.0,2.0,0.0,1.0,0.0,77.6,9.0,611.0,0.41,2.18,0.63,11.5,216.0,0.0,0.64,1.49,42.8,0.0,21.7,1.3,13.6,1010.0,73.0,10.6,4.25,64.5,,0.52,0.0,1.9,,2.21,15.6,42.0,9.11,0.0,41.45913037787313,17.4,10.66,71.94,0.0,0.0,74.4,
23572,beef,Frozen;Meat,solid,100.0,grams,4.18,7.0,0.1,0.15,270.0,67.0,0.0,0.06,71.0,15.0,0.0,17.0,0.0,0.5,7.67,0.01,254.0,2.14,8.76,0.41,0.0,0.0,0.0,0.32,4.23,158.0,18.0,1.94,20.0,0.0,1.23,0.04,0.0,1.8,22.4,0.52,17.17,0.0,0.0,0.0,8.243912963763528,27.62,72.38,0.0,0.0,0.0,56.4,
1019,feta cheese,Cheese,solid,100.0,grams,2.88,32.0,0.4,0.84,62.0,1140.0,0.0,0.03,89.0,15.0,422.0,19.0,0.0,0.97,13.3,0.03,265.0,1.69,4.62,0.18,0.0,0.0,3.88,0.42,0.99,337.0,493.0,0.65,21.5,3.88,,0.15,0.0,1.8,,0.59,14.2,27.0,1.05,0.0,12.29086971282959,21.37,72.79,5.84,0.0,0.0,15.4,
10115261,fish,Seafood,solid,100.0,grams,0.33,24.0,3.1,0.06,302.0,52.0,0.0,0.08,50.0,41.8,0.0,27.0,0.0,0.49,0.58,0.04,96.0,1.58,0.5,0.4,0.0,0.0,0.0,0.16,3.9,170.0,10.0,0.56,1.7,0.0,,0.04,0.0,1.4,,0.36,20.08,0.0,0.0,0.0,8.692608698554661,84.0,16.0,0.0,0.0,0.0,42.5,
99128,finger millet,Health Foods,solid,100.0,grams,2.3,18.3,0.0,0.2,408.0,11.0,0.0,0.5,0.0,0.0,0.0,137.0,0.0,0.0,0.32,5.5,328.0,0.0,0.7,0.0,0.0,0.0,72.0,0.0,1.1,283.0,344.0,3.9,1.3,72.0,0.0,0.4,0.0,0.0,0.0,0.35,7.3,0.0,0.0,0.0,13.874347873356031,8.88,3.56,87.56,,,,
2064,mint,Produce,solid,100.0,grams,1.11,114.0,0.0,0.27,569.0,31.0,31.8,0.33,0.0,,4248.0,80.0,,0.34,0.25,1.18,70.0,0.0,0.03,,8.0,,6.89,0.13,1.71,73.0,243.0,5.08,0.94,14.89,,0.08,,,,0.51,3.75,0.0,0.0,0.0,17.487825932710066,18.07,10.19,71.74,,0.0,,
9147,jujubes,Ethnic Foods,solid,100.0,grams,0.19,,,0.36,531.0,9.0,13.0,0.26,0.0,,,37.0,,,,0.31,287.0,0.0,,,,,73.6,,0.5,100.0,79.0,1.8,1.1,73.6,,0.21,,,,,3.7,20.0,14.72,0.0,5.892608725506326,4.64,3.1,92.26,,,,
1019016,juice,Beverages,liquid,100.0,grams,0.02,0.0,0.0,0.02,101.0,4.0,0.9,0.01,0.0,0.1,1.0,5.0,9.62,0.05,0.02,0.07,46.0,0.0,0.01,0.01,0.2,0.0,11.1,0.02,0.07,7.0,8.0,0.12,0.13,11.3,,0.02,0.0,0.0,,0.04,0.1,40.75,4.52,0.0,0.7395652265328428,0.86,2.5,96.64,0.0,0.0,1.8,
10414003,ale,Alcoholic Beverages,liquid,100.0,grams,0.01,6.0,0.0,0.03,27.0,4.0,0.0,0.0,0.0,0.6,0.0,6.0,0.0,0.04,0.0,0.01,43.0,0.02,0.0,0.0,0.0,0.0,3.55,0.05,0.51,14.0,4.0,0.02,0.0,3.55,,0.0,3.9,0.0,44.2,0.0,0.46,40.5,1.44,0.0,0.6378260834709458,11.47,0.0,88.53,0.0,0.0,10.1,
11663,agar,Ethnic Foods;Health Foods,solid,100.0,grams,5.8,580.0,0.0,0.22,1125.0,102.0,0.0,0.61,0.0,7.4,0.0,770.0,2.97,3.02,0.06,4.3,306.0,0.0,0.03,5.0,7.7,0.0,73.18,0.3,0.2,52.0,625.0,21.4,0.3,80.88,,0.01,0.0,24.4,,0.1,6.21,0.0,0.0,0.0,31.60956514140834,7.08,0.77,92.15,0.0,0.0,63.3,
11233,kale,Produce,solid,100.0,grams,0.39,62.0,0.0,0.35,348.0,53.0,93.4,0.05,0.0,0.9,9990.0,33.0,0.8,0.09,0.18,0.66,35.0,0.0,0.1,0.66,4.1,0.0,0.32,0.15,1.18,55.0,254.0,1.6,1.49,4.42,,0.11,0.0,390.0,,0.67,2.92,32.0,0.1,0.0,20.690000002798826,27.31,31.35,41.34,0.0,0.0,0.5,
2025,nutmeg,Spices and Seasonings,solid,100.0,grams,2.15,76.0,0.0,0.06,350.0,16.0,3.0,1.03,0.0,1.6,102.0,183.0,28.49,,25.94,2.9,525.0,0.0,3.22,0.0,20.8,0.0,28.49,0.16,1.3,213.0,184.0,3.04,36.31,49.29,,0.35,0.0,0.0,,0.35,5.84,70.0,19.94,0.0,18.656956226929374,4.27,59.71,36.02,0.0,0.0,8.8,
99168,amla,Produce,solid,100.0,grams,0.0,0.0,0.0,0.0,225.0,5.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.2,20.0,50.0,1.2,0.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.2652173871579375,3.47,1.56,94.97,,,,
9296,quince,Produce,solid,100.0,grams,0.04,3.0,,0.03,197.0,4.0,15.0,0.13,0.0,0.6,40.0,8.0,,0.08,0.01,,57.0,0.0,0.04,,1.9,,13.4,0.04,0.2,17.0,11.0,0.7,0.1,15.3,,0.02,0.0,,,0.05,0.4,35.0,4.69,0.0,2.4426087205824643,2.51,1.41,96.08,,0.0,,
9150,lemon,Produce,solid,100.0,grams,0.06,11.0,0.0,0.02,138.0,2.0,53.0,0.04,0.0,0.4,22.0,8.0,2.5,0.19,0.04,0.03,29.0,0.0,0.01,0.15,2.8,0.0,6.52,0.08,0.1,16.0,26.0,0.6,0.3,9.32,,0.04,0.0,0.0,,0.09,1.1,25.5,1.66,0.0,4.6813042435957035,9.91,6.08,84.01,0.0,0.0,5.1,
1022,gouda,Cheese,solid,100.0,grams,3.9,21.0,0.5,0.33,121.0,819.0,0.0,0.04,114.0,14.5,563.0,29.0,2.22,0.34,17.6,0.01,356.0,1.54,7.75,0.24,0.0,0.0,2.22,0.08,0.06,546.0,700.0,0.24,27.4,2.22,,0.03,0.0,2.3,,0.66,24.9,27.0,0.6,0.0,11.493912940439971,28.05,69.45,2.5,0.0,0.0,15.4,
1188,cheese dip,Canned and Jarred,solid,100.0,grams,1.64,,,0.24,240.0,1638.0,0.4,,75.0,,649.0,,6.7,,13.1,,276.0,,,,0.3,,8.9,,,806.0,359.0,0.19,21.0,9.2,,,,,,,12.0,0.0,0.0,0.0,7.1360869498356525,17.53,69.03,13.44,,,,
93676,quark,"Milk, Eggs, Other Dairy",solid,100.0,grams,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,68.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,71.62,4.1,24.28,,,,
1018,edam cheese,Cheese,solid,100.0,grams,3.75,16.0,0.5,0.39,188.0,965.0,0.0,0.04,89.0,14.5,825.0,30.0,1.43,0.28,17.57,0.01,357.0,1.54,8.13,0.24,0.0,0.0,1.43,0.08,0.08,536.0,731.0,0.44,27.8,1.43,,0.04,0.0,2.3,,0.67,24.99,27.0,0.39,0.0,11.98826065659523,28.09,70.3,1.61,0.0,0.0,15.4,
10519335,superfine sugar,Baking,solid,100.0,grams,0.01,0.0,0.0,0.02,2.0,1.0,0.0,0.01,0.0,0.6,0.0,0.0,99.8,0.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,99.6,0.0,0.0,0.0,1.0,0.05,0.32,99.6,,0.0,0.0,0.0,0.0,0.0,0.0,70.09,69.81,0.0,0.13217391381445137,0.0,0.72,99.28,0.0,0.0,0.0,
1032035,asafoetida,Spices and Seasonings,solid,100.0,grams,2.37,24.0,0.0,0.14,663.0,52.0,23.4,0.48,0.0,9.3,261.0,136.0,7.76,,6.53,15.84,342.0,0.0,1.1,1.93,14.8,0.0,54.48,0.4,2.24,118.0,682.0,19.71,12.6,69.28,,0.13,0.0,28.4,,0.78,5.76,0.0,0.0,0.0,24.91043474363244,5.57,27.42,67.01,7.0,0.0,20.8,
14084,wine,Alcoholic Beverages,liquid,100.0,grams,0.13,1.0,0.0,0.02,99.0,5.0,0.0,0.01,0.0,0.2,0.0,11.0,0.79,0.04,0.0,0.12,83.0,0.0,0.0,0.0,0.0,0.0,2.72,0.05,0.17,20.0,8.0,0.37,0.0,2.72,,0.0,10.4,0.0,153.3,0.0,0.07,15.0,0.41,0.0,1.0426086848196776,2.51,0.0,97.49,0.0,0.0,5.0,
9263,japanese persimmon,Produce,solid,100.0,grams,0.11,8.0,0.0,0.02,161.0,1.0,7.5,0.11,0.0,0.6,1627.0,9.0,12.5,,0.02,0.35,70.0,0.0,0.04,0.73,3.6,0.0,15.0,0.1,0.1,17.0,8.0,0.15,0.19,18.6,,0.03,0.0,2.6,,0.04,0.58,0.0,0.0,0.0,4.749130461526954,2.96,2.18,94.86,159.0,0.0,7.6,
11603,jicama,Produce,solid,100.0,grams,0.16,12.0,0.0,0.03,150.0,4.0,20.2,0.05,0.0,0.7,21.0,12.0,1.8,0.14,0.02,0.06,38.0,0.0,0.0,0.46,4.9,0.0,3.92,0.04,0.2,18.0,12.0,0.6,0.09,8.82,,0.02,0.0,0.3,,0.04,0.72,15.0,0.59,0.0,3.453913038191588,7.39,2.08,90.53,0.0,0.0,13.6,
14051,vodka,Alcoholic Beverages,liquid,100.0,grams,0.0,0.0,,0.01,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.01,0.0,0.0,,0.0,33.4,,,0.0,0.0,15.0,0.0,0.0,0.07956521771848202,0.0,0.0,0.0,,0.0,,
2045,dill,Produce;Spices and Seasonings,solid,100.0,grams,0.91,150.0,0.0,0.3,738.0,61.0,85.0,0.15,0.0,,7718.0,55.0,,0.4,0.06,1.26,43.0,0.0,0.8,,2.1,,4.92,0.19,1.57,66.0,208.0,6.59,1.12,7.02,,0.06,,,,0.09,3.46,15.0,0.74,0.0,20.159565231074456,26.62,19.38,54.0,,0.0,,
